model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,0.6949152542372882,0.3772,0.4889810733730878,0.6058
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,0.5187802156935664,0.558,0.5376758527654654,0.5202
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0.5829984544049459,0.7544,0.6577157802964254,0.6074
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0.7530509691313712,0.4196,0.5389160030824557,0.641
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0.7260371959942775,0.406,0.5207798871216008,0.6264
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,0.5455840455840456,0.4596,0.4989144594007815,0.5384
traditional,svm,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0.6078655975563192,0.6368,0.6219964836882204,0.613
traditional,svm,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,0.725925925925926,0.392,0.5090909090909091,0.622
traditional,svm,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,0.6967694566813509,0.3796,0.4914552045572243,0.6072
traditional,svm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,0.5,0.4,0.4444444444444445,0.5
traditional,knn,-,-,-,-,-,-,+,+,+,+,+,+,-,-,+,-,0.7429519071310116,0.3584,0.48354020507285483,0.6172
traditional,knn,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,0.6579520697167756,0.2416,0.3534230544177882,0.558
traditional,knn,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,0.6500811249323959,0.4808,0.5527707518969878,0.611
traditional,knn,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,0.6562994201370586,0.498,0.5662952012735957,0.6186
traditional,knn,-,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-,0.7178861788617886,0.3532,0.4734584450402145,0.6072
traditional,knn,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,0.6240913811007269,0.2404,0.34709789200115504,0.5478
traditional,knn,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,0.6246485473289597,0.5332,0.5753129046180405,0.6064
traditional,knn,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,0.6194420226678291,0.5684,0.5928243637880684,0.6096
traditional,knn,-,-,-,-,-,-,+,+,+,-,+,+,-,-,+,-,0.7415824915824916,0.3524,0.477765726681128,0.6148
traditional,knn,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,-,0.647982062780269,0.2312,0.3408018867924528,0.5528
traditional,knn,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,0.6291879613855764,0.4432,0.520065712274114,0.591
traditional,knn,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,0.640649554740702,0.4892,0.5547743252438194,0.6074
traditional,knn,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,0.7180114099429503,0.3524,0.47276629997316877,0.607
traditional,knn,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,0.6231101511879049,0.2308,0.33683596030356105,0.5456
traditional,knn,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,0.6010536398467433,0.502,0.5470793374019182,0.5844
traditional,knn,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,0.5923177651680489,0.5428,0.5664788144437487,0.5846
traditional,knn,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,0.7539893617021277,0.4536,0.5664335664335663,0.6528
traditional,knn,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,0.6914191419141914,0.3352,0.45150862068965514,0.5928
traditional,knn,-,-,-,-,-,-,+,+,-,+,+,-,-,-,+,-,0.6596774193548387,0.4908,0.5628440366972477,0.6188
traditional,knn,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,0.6551554020720276,0.5312,0.5867020101612548,0.6258
traditional,knn,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,0.7535780958307405,0.4844,0.5897248599951304,0.663
traditional,knn,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,0.6948102246320682,0.3588,0.47322606172513854,0.6006
